what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401577285740
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401577288521
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1401577296246
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1401577311284
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1401577315682
activated,editor,com.android.ide.eclipse.adt,22.6.2.v201403212031-1085508,"com.android.ide.eclipse.editors.CommonXmlEditor",1401577320518
activated,editor,com.android.ide.eclipse.adt,22.6.2.v201403212031-1085508,"com.android.ide.eclipse.editors.CommonXmlEditor",1401577338596
activated,editor,com.android.ide.eclipse.adt,22.6.2.v201403212031-1085508,"com.android.ide.eclipse.editors.CommonXmlEditor",1401577344194
activated,editor,com.android.ide.eclipse.adt,22.6.2.v201403212031-1085508,"com.android.ide.eclipse.editors.CommonXmlEditor",1401577353002
activated,editor,com.android.ide.eclipse.adt,22.6.2.v201403212031-1085508,"com.android.ide.eclipse.editors.CommonXmlEditor",1401577374653
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1401577403022
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401577405581
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401577408366
activated,editor,com.android.ide.eclipse.adt,22.6.2.v201403212031-1085508,"com.android.ide.eclipse.editors.CommonXmlEditor",1401577409107
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1401577413729
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1401577469925
activated,editor,com.android.ide.eclipse.adt,22.6.2.v201403212031-1085508,"com.android.ide.eclipse.editors.CommonXmlEditor",1401577470990
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1401577480555
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401577481771
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401577483480
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401577603112
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401577832586
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401577837727
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401577843405
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401577843580
activated,editor,com.android.ide.eclipse.adt,22.6.2.v201403212031-1085508,"com.android.ide.eclipse.editors.CommonXmlEditor",1401577863107
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401577863108
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.close",1401577863129
activated,editor,com.android.ide.eclipse.adt,22.6.2.v201403212031-1085508,"com.android.ide.eclipse.editors.CommonXmlEditor",1401577864802
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401577866383
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401577873958
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401577874082
activated,editor,com.android.ide.eclipse.adt,22.6.2.v201403212031-1085508,"com.android.ide.eclipse.editors.CommonXmlEditor",1401577874899
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401577874899
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.close",1401577874920
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401577876367
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401577880268
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401577880401
