what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1400291580243
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1400291580244
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1400291580253
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1400291580255
started,bundle,com.android.ide.eclipse.adt,22.6.2.v201403212031-1085508,"com.android.ide.eclipse.adt",1400291580255
started,bundle,com.android.ide.eclipse.base,22.6.2.v201403212031-1085508,"com.android.ide.eclipse.base",1400291580255
os,sysinfo,,,"macosx",1400291580259
arch,sysinfo,,,"x86_64",1400291580259
ws,sysinfo,,,"cocoa",1400291580259
locale,sysinfo,,,"en_US",1400291580259
processors,sysinfo,,,"2",1400291580259
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1400291580259
java.runtime.version,sysinfo,,,"1.6.0_22-b04-307-10M3261",1400291580259
java.specification.name,sysinfo,,,"Java Platform API Specification",1400291580259
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1400291580259
java.specification.version,sysinfo,,,"1.6",1400291580259
java.vendor,sysinfo,,,"Apple Inc.",1400291580259
java.version,sysinfo,,,"1.6.0_22",1400291580259
java.vm.info,sysinfo,,,"mixed mode",1400291580259
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1400291580259
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1400291580259
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1400291580259
java.vm.specification.version,sysinfo,,,"1.0",1400291580259
java.vm.vendor,sysinfo,,,"Apple Inc.",1400291580259
java.vm.version,sysinfo,,,"17.1-b03-307",1400291580259
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1400291583837
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1400291583845
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1400291596753
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1400291596780
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1400291596783
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1400291596784
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1400291596850
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1400291596949
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1400291597004
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1400291597015
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1400291597017
