what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1406298150056
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1406298150056
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1406298150056
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1406298150057
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1406298150057
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1406298150058
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1406298150059
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1406298150060
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1406298150060
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1406298150061
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1406298150088
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1406298150089
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1406298150090
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1406298150090
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1406298150091
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1406298150092
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1406298150094
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1406298150094
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1406298150096
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1406298150096
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1406298150098
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1406298150099
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1406298150100
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1406298150112
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1406298150114
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1406298150115
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1406298150115
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1406298150116
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1406298150116
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1406298150117
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1406298150117
started,bundle,com.android.ide.eclipse.adt,22.6.2.v201403212031-1085508,"com.android.ide.eclipse.adt",1406298150119
started,bundle,com.android.ide.eclipse.base,22.6.2.v201403212031-1085508,"com.android.ide.eclipse.base",1406298150119
os,sysinfo,,,"macosx",1406298150123
arch,sysinfo,,,"x86_64",1406298150123
ws,sysinfo,,,"cocoa",1406298150123
locale,sysinfo,,,"en_US",1406298150123
processors,sysinfo,,,"2",1406298150123
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1406298150123
java.runtime.version,sysinfo,,,"1.6.0_22-b04-307-10M3261",1406298150123
java.specification.name,sysinfo,,,"Java Platform API Specification",1406298150123
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1406298150123
java.specification.version,sysinfo,,,"1.6",1406298150123
java.vendor,sysinfo,,,"Apple Inc.",1406298150123
java.version,sysinfo,,,"1.6.0_22",1406298150123
java.vm.info,sysinfo,,,"mixed mode",1406298150123
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1406298150123
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1406298150123
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1406298150123
java.vm.specification.version,sysinfo,,,"1.0",1406298150123
java.vm.vendor,sysinfo,,,"Apple Inc.",1406298150123
java.vm.version,sysinfo,,,"17.1-b03-307",1406298150123
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1406298152021
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1406298156240
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1406298156242
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1406298156256
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1406298156256
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1406298156335
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1406298156337
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1406298156512
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1406298156517
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406298160409
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406298163258
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406298163426
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1406298165339
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1406298165494
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1406298165533
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406298165935
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1406298165985
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1406298165985
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1406298168856
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1406298168860
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1406298168865
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1406298168866
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1406298168888
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406298180227
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406298206572
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1406298206711
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1406298206712
started,bundle,org.eclipse.jdt.launching.macosx,3.2.100.v20111006_r372,"org.eclipse.jdt.launching.macosx",1406298206765
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1406298207402
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406298212308
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406298217593
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1406298217643
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1406298229248
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1406298229699
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1406298229868
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1406298230158
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1406298239663
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1406298241592
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406298252372
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406298260217
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1406298260414
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406298281415
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406298289085
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1406298298816
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1406298298853
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406298300122
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406298303272
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1406298303330
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406298309257
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406298319355
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1406298319604
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1406298323914
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1406298324091
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406298324560
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406298366602
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1406298369719
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1406298369764
