what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404929057508
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404929060062
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1404929062871
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1404929063768
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1404929066960
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1404929071168
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404929082374
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404929090765
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404929093155
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404929099637
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404929104685
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404929108610
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404929113504
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404929149540
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404929166078
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404929210226
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404929214659
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404929229993
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404929243351
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404929244354
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404929244951
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404929246083
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1404929249723
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1404929250629
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1404929257308
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1404929260530
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1404929263196
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1404929268034
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.add.block.comment",1404929351251
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1404929352191
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1404929361439
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1404929362594
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404929399678
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404929420796
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404929425639
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404929473532
activated,editor,com.android.ide.eclipse.adt,22.6.2.v201403212031-1085508,"com.android.ide.eclipse.editors.CommonXmlEditor",1404929501683
activated,editor,com.android.ide.eclipse.adt,22.6.2.v201403212031-1085508,"com.android.ide.eclipse.editors.CommonXmlEditor",1404929524470
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1404929531462
activated,editor,com.android.ide.eclipse.adt,22.6.2.v201403212031-1085508,"com.android.ide.eclipse.editors.CommonXmlEditor",1404929532552
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1404929539021
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1404929543758
activated,editor,com.android.ide.eclipse.adt,22.6.2.v201403212031-1085508,"com.android.ide.eclipse.editors.CommonXmlEditor",1404929546335
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1404929550055
activated,editor,com.android.ide.eclipse.adt,22.6.2.v201403212031-1085508,"com.android.ide.eclipse.editors.CommonXmlEditor",1404929551205
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1404929554575
