what,kind,bundleId,bundleVersion,description,time
opened,editor,com.android.ide.eclipse.adt,22.6.2.v201403212031-1085508,"com.android.ide.eclipse.editors.CommonXmlEditor",1405382553283
activated,editor,com.android.ide.eclipse.adt,22.6.2.v201403212031-1085508,"com.android.ide.eclipse.editors.CommonXmlEditor",1405382553341
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1405382555602
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1405382569085
activated,editor,com.android.ide.eclipse.adt,22.6.2.v201403212031-1085508,"com.android.ide.eclipse.editors.CommonXmlEditor",1405382569719
closed,editor,com.android.ide.eclipse.adt,22.6.2.v201403212031-1085508,"com.android.ide.eclipse.editors.CommonXmlEditor",1405382569719
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.close",1405382569745
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1405382571306
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1405382584674
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1405382585070
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1405382585813
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1405382586309
closed,editor,com.android.ide.eclipse.adt,22.6.2.v201403212031-1085508,"com.android.ide.eclipse.editors.CommonXmlEditor",1405382586310
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.close",1405382586348
opened,editor,com.android.ide.eclipse.adt,22.6.2.v201403212031-1085508,"com.android.ide.eclipse.editors.CommonXmlEditor",1405382588109
activated,editor,com.android.ide.eclipse.adt,22.6.2.v201403212031-1085508,"com.android.ide.eclipse.editors.CommonXmlEditor",1405382588154
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1405382590883
closed,editor,com.android.ide.eclipse.adt,22.6.2.v201403212031-1085508,"com.android.ide.eclipse.editors.CommonXmlEditor",1405382590883
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.close",1405382590904
opened,editor,com.android.ide.eclipse.adt,22.6.2.v201403212031-1085508,"com.android.ide.eclipse.editors.CommonXmlEditor",1405382592410
activated,editor,com.android.ide.eclipse.adt,22.6.2.v201403212031-1085508,"com.android.ide.eclipse.editors.CommonXmlEditor",1405382592452
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1405382597862
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405382684314
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405387581238
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1405387582615
closed,editor,com.android.ide.eclipse.adt,22.6.2.v201403212031-1085508,"com.android.ide.eclipse.editors.CommonXmlEditor",1405387582615
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.close",1405387582668
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405387583232
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405387584511
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405387584887
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1405387587157
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1405387587159
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1405387587223
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1405387587258
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1405387587314
