what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405363162409
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1405363182981
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405363186621
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405363390066
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405363398109
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405363404400
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405363405396
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405363419913
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1405363456426
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1405363492940
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405363500300
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405363535907
error,log,,,"Unhandled event loop exception",1405363549614
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405363552628
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405363556148
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405363556776
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405363636823
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1405363642970
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1405363647041
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1405363669802
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1405363669803
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.close",1405363669818
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1405363671937
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405363674534
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1405363676355
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1405363676950
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1405363677139
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405363677887
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1405363677996
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405363688272
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1405363689603
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1405363690396
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405363698288
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1405363698559
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1405363698641
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1405363703293
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405363720233
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405363761668
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405363768506
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405363779986
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1405363781847
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405363785683
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1405363800494
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1405363801200
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1405363841368
error,log,,,"Warning: Ignoring name conflict in resource file for name action_settings",1405363841615
error,log,,,"Warning: Ignoring name conflict in resource file for name activity_horizontal_margin",1405363841670
error,log,,,"Warning: Ignoring name conflict in resource file for name activity_vertical_margin",1405363841671
error,log,,,"Warning: Ignoring name conflict in resource file for name activity_horizontal_margin",1405363841700
started,bundle,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui",1405363841941
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405363842256
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1405363842336
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1405363842518
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1405363842600
error,log,,,"Current file is not a match for the given config.",1405363842769
error,log,,,"Current file is not a match for the given config.",1405363842786
error,log,,,"Current file is not a match for the given config.",1405363842786
error,log,,,"Current file is not a match for the given config.",1405363842787
error,log,,,"Current file is not a match for the given config.",1405363842787
error,log,,,"Current file is not a match for the given config.",1405363842787
error,log,,,"Current file is not a match for the given config.",1405363842787
error,log,,,"Current file is not a match for the given config.",1405363842787
error,log,,,"Current file is not a match for the given config.",1405363842790
error,log,,,"Current file is not a match for the given config.",1405363842790
error,log,,,"Current file is not a match for the given config.",1405363842791
error,log,,,"Current file is not a match for the given config.",1405363842791
error,log,,,"Current file is not a match for the given config.",1405363842791
error,log,,,"Current file is not a match for the given config.",1405363842793
error,log,,,"Current file is not a match for the given config.",1405363842793
error,log,,,"Current file is not a match for the given config.",1405363842794
error,log,,,"Current file is not a match for the given config.",1405363842794
error,log,,,"Current file is not a match for the given config.",1405363842795
error,log,,,"Current file is not a match for the given config.",1405363842795
error,log,,,"Current file is not a match for the given config.",1405363842795
error,log,,,"Current file is not a match for the given config.",1405363842795
error,log,,,"Current file is not a match for the given config.",1405363842796
error,log,,,"Current file is not a match for the given config.",1405363842796
error,log,,,"Current file is not a match for the given config.",1405363842796
error,log,,,"Current file is not a match for the given config.",1405363842797
error,log,,,"Current file is not a match for the given config.",1405363842797
error,log,,,"Current file is not a match for the given config.",1405363842797
error,log,,,"Current file is not a match for the given config.",1405363842798
error,log,,,"Current file is not a match for the given config.",1405363842799
error,log,,,"Current file is not a match for the given config.",1405363842799
error,log,,,"Current file is not a match for the given config.",1405363842799
error,log,,,"Current file is not a match for the given config.",1405363842799
error,log,,,"Current file is not a match for the given config.",1405363842800
error,log,,,"Current file is not a match for the given config.",1405363842801
error,log,,,"Current file is not a match for the given config.",1405363842801
error,log,,,"Current file is not a match for the given config.",1405363842801
error,log,,,"Current file is not a match for the given config.",1405363842801
error,log,,,"Current file is not a match for the given config.",1405363842801
error,log,,,"Current file is not a match for the given config.",1405363842802
error,log,,,"Current file is not a match for the given config.",1405363842802
error,log,,,"Current file is not a match for the given config.",1405363842803
error,log,,,"Current file is not a match for the given config.",1405363842803
error,log,,,"Current file is not a match for the given config.",1405363842804
error,log,,,"Current file is not a match for the given config.",1405363842804
error,log,,,"Current file is not a match for the given config.",1405363842805
