what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407774435187
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407774437443
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407774439459
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407774452955
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407774464305
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407774503238
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407774511420
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407774516596
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1407774519176
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1407774533100
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1407774533984
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1407774534376
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1407774534532
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1407774540279
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407774544936
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407774553250
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407774562132
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1407774568065
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.1.v201201112313,"org.eclipse.wst.jsdt.debug.rhino.ui",1407774568198
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1407774569392
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1407774569855
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1407774570128
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407774573215
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407774582895
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407774586798
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1407774586859
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407774589204
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407774593208
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407774598680
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407774599720
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1407774599788
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1407774599891
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407774615507
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407774660721
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407774665601
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407774681679
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1407774681739
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407774687358
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407774700133
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1407774703789
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1407774713237
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1407774713316
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1407774721720
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1407774726766
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407774738597
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407774743818
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407774774814
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407774776603
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1407774778110
activated,editor,com.android.ide.eclipse.adt,22.6.2.v201403212031-1085508,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1407774778432
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1407774778432
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.close",1407774778448
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1407774782799
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1407774787637
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1407774789917
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407774793122
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1407774793902
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407774797558
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1407774797765
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1407774797900
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1407774818197
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1407774824748
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1407774825132
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1407774825261
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1407774827606
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1407774827606
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.close",1407774827625
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407774831386
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407774831507
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407774839005
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407774839142
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1407774844596
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407774858466
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407774858567
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1407774865280
activated,editor,com.android.ide.eclipse.adt,22.6.2.v201403212031-1085508,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1407774874442
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407774883315
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407774889152
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1407774896385
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1407774897142
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1407774898783
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1407774902916
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1407774904843
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407774907156
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407774910323
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1407774913740
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1407774917267
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407774918982
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407774921594
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1407774926223
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407774928816
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1407774935481
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407774942451
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407774946278
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1407774947327
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407774947365
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1407774947436
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407774951809
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1407774952554
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407774954526
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1407774954739
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1407774954959
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407774965867
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407774965959
activated,editor,com.android.ide.eclipse.adt,22.6.2.v201403212031-1085508,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1407774966840
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1407774968529
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1407774969312
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1407774970886
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407774974350
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407774974450
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407774977359
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407774977460
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1407774978212
activated,editor,com.android.ide.eclipse.adt,22.6.2.v201403212031-1085508,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1407774980039
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1407774980039
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.close",1407774980055
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1407774982337
